2023-11-29 05:18:43,010,Bot,Draw
2023-11-29 05:18:54,010,Bot,010
2023-11-29 05:25:39,010,020,020
2023-11-29 05:25:53,0,Bot,0
2023-11-29 05:26:12,LILI,Bot,LILI
2023-11-29 06:07:57,010,020,010
2023-11-29 06:08:23,X,Bot,X
2023-11-29 06:08:43,11,Bot,Draw
2023-11-29 06:08:57,010,Bot,010
2023-11-29 06:09:22,010,020,020
2023-11-29 06:09:45,000,111,111
2023-11-29 06:10:07,LILI,ANDY,ANDY
2023-11-29 06:20:50,ANDY,LILIANA,ANDY
2023-11-29 06:22:16,ANDY,LILIANA,Draw
2023-11-29 06:23:43,ANDY,LILIANA,ANDY
2023-11-29 06:24:23,LILIANA,ANDY,LILIANA
2023-11-29 06:25:15,LILIANA,ANDY,Draw
